Paziente,767,741,294,2034,141,293,2042,674,781,333,675,121,1929,1891,54,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
135,11.900247,18.180008,3.8516948,9.540284,10.615773,27.593616,5.890415,2.582312,4.0031996,2.1438534,3.236971,15.6766,19.021769,0.0,32.017815,0.7027240998824964,0.8176600669818754,0.6390502231262876,0.6066108058270986
136,16.164291,6.279516,1.6998981,4.6463466,1.0318413,26.92413,11.66471,3.1649904,8.763996,1.0320244,7.373453,9.668449,21.062725,4.2783475,30.270247,0.6389805981292411,0.7788437855766449,0.4743329645694863,0.5751216499205919
137,13.380529,8.695374,2.1203208,5.557988,7.590471,26.275885,9.014855,0.2027305,4.6826806,1.5579166,3.6999414,9.670178,17.73753,0.0,32.61934,0.7103457160206532,0.8062597387305731,0.53481506908617,0.5926898335824202
138,12.199037,9.546603,0.0,15.543661,9.533831,25.527187,11.890844,2.6003866,2.2393851,4.1888165,2.1107507,13.039398,18.654366,0.8211411,31.095842,0.7160054107885322,0.8816894353369763,0.2978623546192671,0.5630164059576134
139,6.192993,3.5312762,0.0,4.1395187,7.0553737,30.861195,10.713037,0.9290564,4.712126,4.07316,2.8831074,13.170297,19.42302,0.0,30.909271,0.6783916285760323,0.7262013323041225,0.5657115057909897,0.5493251356203827
141,4.585138,18.822418,0.0,10.09821,6.9644146,24.622042,16.134462,3.5920935,3.3387766,8.035458,2.831848,18.136505,3.29885,18.04672,19.302025,0.786606424792139,0.9001876876876878,0.5812137201769723,0.6179765850915113
142,0.8558968,8.070435,0.0,30.066004,10.485765,29.95511,15.2719345,4.9259233,3.9074893,16.130188,2.4493277,15.531097,23.305593,0.0,35.4725,0.7859418085225562,0.8869897140945491,0.6651133303397047,0.583592048488497
144,7.055234,7.832232,0.0,3.2539833,4.5425396,13.84586,16.934175,0.6162629,1.9603368,8.399862,2.5207772,10.089958,9.813684,10.560974,15.274337,0.6297504268207199,0.7784596326651229,0.386840583482634,0.4168465963371685
146,13.393847,3.8674202,0.637502,1.0651628,3.4275894,25.101265,11.846987,2.392143,4.88493,1.3067801,2.8452826,7.317302,20.27337,0.0,33.670437,0.7628183291795961,0.8663532649414543,0.6808583221650905,0.7169177178079065
147,13.913451,9.310257,0.0,12.738567,8.879433,29.149405,5.418951,4.1065226,3.286459,2.657382,2.0103035,13.314597,15.800326,0.0,29.752138,0.758008723138676,0.8208151779230209,0.5339611747163832,0.6271340963800981
149,2.7872813,0.4948663,0.0,2.7218795,5.703935,15.41204,18.611504,0.95297074,3.6277027,10.865346,5.3416576,11.869507,7.9190617,10.723987,13.444942,0.5947045801458161,0.6775815165833637,0.3523207574431118,0.197602899834385
150,10.210297,6.743665,0.0,9.689876,7.8957043,21.087938,12.533173,2.9515464,6.211205,2.020318,5.008849,11.726877,22.317076,5.401646,24.787128,0.7964692951281629,0.8667924265465365,0.5914066209250528,0.6217407347184231
153,10.897381,10.175666,2.6150746,2.010997,6.3204975,20.789316,10.668502,3.2394617,4.150983,6.9931645,3.5881586,13.834029,17.037077,0.0,29.430603,0.8055781072773703,0.8875047404019079,0.737111718210483,0.6694097681655985
155,4.4702506,5.6763005,0.0,5.163632,5.546377,19.777004,11.913341,3.5147727,4.1975727,14.116977,5.2663183,9.137987,27.842724,1.483891,26.75469,0.786736849024709,0.8564494215765402,0.5813972068699085,0.6257121259311803
158,11.038841,5.6059637,2.6654177,7.070006,9.53897,26.391039,9.822727,3.3409464,2.2240472,0.9198485,4.700654,16.934553,16.994242,0.0,29.388659,0.7581756379800597,0.8479540598290598,0.63710718864992,0.6572907790794617
159,14.007835,6.180653,2.605601,4.24195,0.0,23.237543,11.155652,2.7930734,6.0874825,7.297296,4.5339212,10.347125,25.470774,2.6441598,30.889023,0.6723105369697729,0.8022316633686349,0.4750609531110508,0.3720818232295659
161,8.942823,6.651159,2.2371478,2.81378,6.458781,31.257828,8.796892,3.2044578,2.4654026,1.9635105,3.2138937,17.066813,16.685574,0.0,32.628574,0.6781130483724702,0.7814851721938775,0.3884697066905776,0.5107333369813969
163,9.508682,2.128765,0.0,4.27444,8.223509,31.762756,7.2547817,0.72784054,3.4193835,2.3983097,2.590713,9.178487,17.456015,1.4426274,32.41932,0.8330858876117495,0.9178462532299744,0.6887279588452296,0.6699125158997528
166,18.05452,3.680057,0.6494076,2.3532383,4.5554914,20.251993,15.011444,0.6782105,1.9688934,0.58367676,2.058493,8.182408,24.00837,0.0,32.867207,0.7825027960998164,0.8455979473449352,0.6914618874813725,0.572471315210799
168,11.725313,8.670254,1.5084045,1.8414994,5.870925,21.85957,10.809418,2.9306111,3.762267,1.3878193,5.0809116,10.771581,17.567402,0.0,30.112528,0.7291230741761046,0.843127240143369,0.539654309559791,0.6389256476776247
