Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
115,0.58676577,0.40371355,0.21258008,0.74459755,0.30818546,0.30944872,0.53547895,0.3384943,0.17559683,0.20444033,0.7844317,0.81009597,0.7764796,0.09290767,0.29698354,5.363359951886131,4.521225233051556,0.9583009437730298,90.18145564921336
116,0.47160995,0.23197064,0.00081911683,0.7456492,0.3568133,0.47694767,0.4767307,0.2597686,0.18859851,0.24680242,0.6164496,0.6191085,0.8364636,0.03969124,0.08367023,1.712294952819453,2.8416869452565603,0.9247004441280572,26.84611752151532
117,0.29783773,0.21315858,0.18348914,0.44516185,0.39089823,0.1416629,0.6626947,0.09520161,0.1667518,0.32831368,0.56811124,0.5979444,0.75316846,0.12178472,0.08578405,2.316080348602401,3.7119070393594784,0.9404863394112398,34.088811294799875
118,0.38838363,0.0,0.0,0.54423904,0.2894526,0.38235915,0.0,0.172598,0.19094741,0.0,0.6481209,0.65196306,0.70411503,0.11125597,0.0,1.4947617888158429,1.154406298190082,0.9095131242562754,27.805932149354625
119,0.024674118,0.80377126,0.0,0.94767594,1.0975757,0.33761472,1.9739304,0.16224444,0.20375627,1.5756174,0.5639554,3.676539,0.7107464,1.1158874,0.4925034,3.2460651942953227,3.2354973298904524,0.9279042365600934,67.47692759453872
120,0.39131534,0.28858098,0.07033333,0.62811494,0.28701997,0.43558347,0.31230998,0.16459322,0.28152782,0.18948326,0.5887313,0.87365264,0.9215397,0.09293309,0.18522443,4.511907672746833,5.656065767953881,0.9519386593561298,37.45555286431835
123,0.84153104,0.05506769,0.26408678,0.5183705,0.5576259,0.12656462,0.43691528,0.35919762,0.117910564,0.44563392,1.0715376,0.35312712,0.8004987,0.20309952,0.04541537,3.5636212145489505,3.999897452331357,0.9290065926197156,78.22935376835613
124,0.6751025,0.51070464,0.3047052,0.72125673,0.6688441,0.1284166,0.6979314,0.15555787,0.1523084,0.40235493,1.0348554,0.7003495,0.98792505,0.43963614,0.13789861,3.1214002306210187,3.404533581883356,0.9300354432680874,59.639695336411165
126,0.58058345,0.17158177,0.16841677,0.8806896,0.3098737,0.4097221,0.61380863,0.41235137,0.14283854,0.3135048,0.639551,0.48927182,0.911177,0.009564251,0.13886225,1.9604650327462552,2.073322876881264,0.919773387917155,21.51696668026769
127,0.55111516,0.079482615,0.17858106,0.5764539,0.3938418,0.42114925,0.33502865,0.2922176,0.28454626,0.11161789,0.69771767,0.66159517,0.7836844,0.18485534,0.0,1.391347493140285,1.3389566059504667,0.9014557392185506,28.63437622276442
128,0.40644383,0.0,0.0,0.6546725,0.39966923,0.40020323,0.07624543,0.104531646,0.2935012,0.030443609,0.5583589,0.6648701,0.783737,0.0,0.0,4.266169314636336,3.754832565314656,0.9374326464364962,37.003685628790805
